,LicenseClass,SubClass,LicenseNumber,LicenseDate,LicenseEndDate,LicenseYear,LicenseFee,CertificateNumber,LicenseStatus,LicenseeFirstName,LicenseeLastName,TradeName,CorpName,EstablishmentDesc,DayPerWeek,Description,AddrStreet,AddrZip,Location 1,Latitude,Longitude
0,LBD7,BWL,243,05/01/2015,04/30/2016,2015,$1320.00,656,Renewed,LORETTA H.,"HUTCHINS, PR & IND",1919,FLEET STREET COMPANY,Tavern,7 days,"Beer, Wine, & Liquor",1919 FLEET STREET,21231,"1919 FLEET STREET
21231
(39.28469269900006, -76.58940926999998)",39.284692699,-76.58940927
1,LBD7,BWL,243,05/01/2015,04/30/2016,2015,$1320.00,656,Renewed,SALLY,HUTCHINS,1919,FLEET STREET COMPANY,Tavern,7 days,"Beer, Wine, & Liquor",1919 FLEET STREET,21231,"1919 FLEET STREET
21231
(39.28469269900006, -76.58940926999998)",39.284692699,-76.58940927
2,LBD7,BWL,341,05/01/2015,04/30/2016,2015,$1320.00,924,Renewed,JASON,AMBROSE,1157 BAR & KITCHEN,"HAUBERT STREET 1157, LLC",Tavern,7 days,"Beer, Wine, & Liquor",1157 HAUBERT STREET,21230,"1157 HAUBERT STREET
21230
(39.27308461200005, -76.59210215299998)",39.273084612,-76.592102153
3,LBD7,BWL,81,05/01/2015,04/30/2016,2015,$1320.00,224,Renewed,WAYNE,LAING,13.5% WINE BAR,"MLJ, INC.",Tavern,7 days,"Beer, Wine, & Liquor",1117-19 36TH STREET WEST,21211,"1117-19 36TH STREET WEST
21211
(39.331013393000035, -76.63404403699997)",39.331013393,-76.634044037
4,LC,BWL,51,05/01/2015,04/30/2016,2015,$550.00,1077,Renewed,EARLE A.,HAVENS,14 WEST HAMILTON STREET CLUB,"14 WEST HAMILTON STREET CLUB, INC.",Non-Profits only,7 days,"Beer, Wine, & Liquor",14 HAMILTON STREET WEST,21201,"14 HAMILTON STREET WEST
21201
(39.29565781300005, -76.61654089799998)",39.295657813,-76.616540898
5,LC,BWL,51,05/01/2015,04/30/2016,2015,$550.00,1077,Renewed,JAMES A.,"ULMER, III",14 WEST HAMILTON STREET CLUB,"14 WEST HAMILTON STREET CLUB, INC.",Non-Profits only,7 days,"Beer, Wine, & Liquor",14 HAMILTON STREET WEST,21201,"14 HAMILTON STREET WEST
21201
(39.29565781300005, -76.61654089799998)",39.295657813,-76.616540898
6,LC,BWL,51,05/01/2015,04/30/2016,2015,$550.00,1077,Renewed,JOHN C.,MURPHY,14 WEST HAMILTON STREET CLUB,"14 WEST HAMILTON STREET CLUB, INC.",Non-Profits only,7 days,"Beer, Wine, & Liquor",14 HAMILTON STREET WEST,21201,"14 HAMILTON STREET WEST
21201
(39.29565781300005, -76.61654089799998)",39.295657813,-76.616540898
7,LBD7,BWL,304,05/01/2015,04/30/2016,2015,$1320.00,827,Renewed,FRED A.,HILL,19TH HOLE,"HILL, INC.",Tavern,7 days,"Beer, Wine, & Liquor",2722 HARFORD ROAD,21218,"2722 HARFORD ROAD
21218
(39.320672699000056, -76.59124255099994)",39.320672699,-76.591242551
8,LBD7,BWL,304,05/01/2015,04/30/2016,2015,$1320.00,827,Renewed,SHIRLEY O.,HILL,19TH HOLE,"HILL, INC.",Tavern,7 days,"Beer, Wine, & Liquor",2722 HARFORD ROAD,21218,"2722 HARFORD ROAD
21218
(39.320672699000056, -76.59124255099994)",39.320672699,-76.591242551
9,LBD7,BWL,242,05/01/2015,04/30/2016,2015,$1320.00,655,Renewed,ADRIENNE M.,SAVAGE,2 O'CLOCK CLUB,"NEW 2 O'CLOCK CLUB, INC.",Tavern,7 days,"Beer, Wine, & Liquor",414-16 BALTIMORE STREET EAST,21202,"414-16 BALTIMORE STREET EAST
21202
(39.28978505300006, -76.60963839299995)",39.289785053,-76.609638393
10,LBD7,BWL,242,05/01/2015,04/30/2016,2015,$1320.00,655,Renewed,TONYA M.,AUSTIN,2 O'CLOCK CLUB,"NEW 2 O'CLOCK CLUB, INC.",Tavern,7 days,"Beer, Wine, & Liquor",414-16 BALTIMORE STREET EAST,21202,"414-16 BALTIMORE STREET EAST
21202
(39.28978505300006, -76.60963839299995)",39.289785053,-76.609638393
11,AE,AE,16,07/01/2015,06/30/2016,2015,$1000.00,1286,Renewed,ADRIENNE M.,SAVAGE,2 O'CLOCK CLUB,"NEW 2 O'CLOCK CLUB, INC.",Adult,,,414-16 BALTIMORE STREET EAST,21202,"414-16 BALTIMORE STREET EAST
21202
(39.28978505300006, -76.60963839299995)",39.289785053,-76.609638393
12,AE,AE,16,07/01/2015,06/30/2016,2015,$1000.00,1286,Renewed,TONYA M.,AUSTIN,2 O'CLOCK CLUB,"NEW 2 O'CLOCK CLUB, INC.",Adult,,,414-16 BALTIMORE STREET EAST,21202,"414-16 BALTIMORE STREET EAST
21202
(39.28978505300006, -76.60963839299995)",39.289785053,-76.609638393
13,WD,BW,17,05/01/2015,04/30/2016,2015,$165.00,429,Renewed,ANNE,NORRIS,3 MILE'S HOUSE,"3 MILE'S HOUSE, INC.",Tavern License,7 days,Beer & Light Wine,2701-03 MILES AVENUE,21211,"2701-03 MILES AVENUE
21211
(39.31955514600003, -76.62266739399996)",39.319555146,-76.622667394
14,WD,BW,17,05/01/2015,04/30/2016,2015,$165.00,429,Renewed,MILTON J.,NORRIS,3 MILE'S HOUSE,"3 MILE'S HOUSE, INC.",Tavern License,7 days,Beer & Light Wine,2701-03 MILES AVENUE,21211,"2701-03 MILES AVENUE
21211
(39.31955514600003, -76.62266739399996)",39.319555146,-76.622667394
15,LA,BWL,88,05/01/2015,04/30/2016,2015,$858.00,356,Renewed,JONG WOONG,KIM,"318 PARK AVE. LIQUOR, GROCERY  & CARRY OUT","M & Y LIQUOR, INC.",Package goods only,6 days,"Beer, Wine, & Liquor",318 PARK AVENUE,21201,"318 PARK AVENUE
21201
(39.29358716300004, -76.61817598599998)",39.293587163,-76.618175986
16,LA,BWL,88,05/01/2015,04/30/2016,2015,$858.00,356,Renewed,YONG JIN,MUN,"318 PARK AVE. LIQUOR, GROCERY  & CARRY OUT","M & Y LIQUOR, INC.",Package goods only,6 days,"Beer, Wine, & Liquor",318 PARK AVENUE,21201,"318 PARK AVENUE
21201
(39.29358716300004, -76.61817598599998)",39.293587163,-76.618175986
17,LBD7,BWL,140,05/01/2015,04/30/2016,2015,$1320.00,386,Renewed,MILTON W.,DOERING,60'S & 70'S CLUB,,Tavern,7 days,"Beer, Wine, & Liquor",1000 LOMBARD STREET WEST,21223,"1000 LOMBARD STREET WEST
21223
(39.28679791800005, -76.63381244999994)",39.286797918,-76.63381245
18,LBD7,BWL,60,05/01/2015,04/30/2016,2015,$1320.00,155,Renewed,ABIGAIL,JANSSENS,8 X 10 CLUB,"CONSENSUAL REALITY, LLC",Tavern,7 days,"Beer, Wine, & Liquor",8-10 CROSS STREET EAST,21230,"8-10 CROSS STREET EAST
21230
(39.27689633600005, -76.61396638499997)",39.276896336,-76.613966385
19,LBD7,BWL,60,05/01/2015,04/30/2016,2015,$1320.00,155,Renewed,BRIAN,SHUPE,8 X 10 CLUB,"CONSENSUAL REALITY, LLC",Tavern,7 days,"Beer, Wine, & Liquor",8-10 CROSS STREET EAST,21230,"8-10 CROSS STREET EAST
21230
(39.27689633600005, -76.61396638499997)",39.276896336,-76.613966385
20,LA,BWL,83,05/01/2015,04/30/2016,2015,$858.00,346,Renewed,CHOM O.,FUNK,A & B LIQUORS,"SIM'S INTERNATIONAL, INC.",Package goods only,6 days,"Beer, Wine, & Liquor",523-25 LEXINGTON STREET WEST,21201,"523-25 LEXINGTON STREET WEST
21201
(39.29137323700007, -76.62330670899996)",39.291373237,-76.623306709
21,LA,BWL,83,05/01/2015,04/30/2016,2015,$858.00,346,Renewed,SANG IM,SIM,A & B LIQUORS,"SIM'S INTERNATIONAL, INC.",Package goods only,6 days,"Beer, Wine, & Liquor",523-25 LEXINGTON STREET WEST,21201,"523-25 LEXINGTON STREET WEST
21201
(39.29137323700007, -76.62330670899996)",39.291373237,-76.623306709
