,Offense,Longitude,Latitude
0,Unknown Offense,-76.5320421192,39.3278273898
1,Unknown Offense,-76.6094496709,39.338664564
2,Unknown Offense,-76.5758387773,39.2970890208
3,Unknown Offense,-76.6088188813,39.2898145556
4,4A-Agg. Asslt.- Gun,-76.6089227498,39.3297751474
5,Unknown Offense,-76.5865356647,39.3446421153
6,Unknown Offense,-76.5865356647,39.3446421153
7,Unknown Offense,-76.5867612117,39.3438305682
8,Unknown Offense,-76.689792948,39.2953997396
9,Unknown Offense,-76.5813919307,39.2962225986
10,Unknown Offense,-76.6622418491,39.2928411445
11,Unknown Offense,-76.6633275411,39.279578596
12,Unknown Offense,-76.6787823692,39.2926170294
13,4B-Agg. Asslt.- Cut,-76.6766142277,39.2940664925
14,Unknown Offense,-76.6827628788,39.3261534152
15,Unknown Offense,-76.6827628788,39.3261534152
16,Unknown Offense,-76.6467411024,39.2841566824
17,Unknown Offense,-76.6467411024,39.2841566824
18,Unknown Offense,-76.6252532647,39.2490571481
19,3B-Robb Highway (Ua),-76.6165027021,39.3221304213
20,Unknown Offense,-76.6365853187,39.3084390719
21,Unknown Offense,-76.5731973687,39.2897997961
22,Unknown Offense,-76.6210983902,39.2915696972
23,Unknown Offense,-76.6120986986,39.2896761923
24,Unknown Offense,-76.6474106881,39.287160777
25,Unknown Offense,-76.5845345048,39.3114801952
26,Unknown Offense,-76.6276929303,39.2740805921
27,3AF-Robb Hwy-Firearm,-76.6005784294,39.315801904
28,5D-Burg. Oth. (Force),-76.6347411003,39.3375552604
29,Unknown Offense,-76.5756019232,39.2935609831
30,Unknown Offense,-76.6167511461,39.3110039432
31,4E-Common Assault,-76.6704717868,39.2860621427
32,Unknown Offense,-76.6066949733,39.2894021333
33,Unknown Offense,-76.6066949733,39.2894021333
34,Unknown Offense,-76.6066949733,39.2894021333
35,Unknown Offense,-76.6066949733,39.2894021333
36,Unknown Offense,-76.602076208,39.2899166313
37,Unknown Offense,-76.602049743,39.2900008296
38,Unknown Offense,-76.6366698861,39.3150682257
39,Unknown Offense,-76.6063442127,39.3534309891
40,Unknown Offense,-76.6058472935,39.3397417611
41,Unknown Offense,-76.5428266549,39.277143665
42,Unknown Offense,-76.5465746893,39.3518364599
43,Unknown Offense,-76.6082720324,39.3553571709
44,Unknown Offense,-76.5453515979,39.3425526249
45,4C-Agg. Asslt.- Oth.,-76.6579627775,39.2768084793
46,4B-Agg. Asslt.- Cut,-76.6295648935,39.2900755049
47,Unknown Offense,-76.5415669913,39.2780630168
48,Unknown Offense,-76.6222766866,39.2503103267
49,4E-Common Assault,-76.6894375182,39.3471563167
50,Unknown Offense,-76.6225992026,39.2927981524
51,Unknown Offense,-76.6225992026,39.2927981524
52,Unknown Offense,-76.6094169091,39.3440741839
53,Unknown Offense,-76.6706276368,39.3482970651
54,24-Towed Vehicle,-76.6665597886,39.3397228012
55,Unknown Offense,-76.6903876878,39.2889790308
56,Unknown Offense,-76.6863609477,39.3271677161
57,Unknown Offense,-76.6863609477,39.3271677161
58,Unknown Offense,-76.6858033804,39.3397485997
59,Unknown Offense,-76.6858033804,39.3397485997
60,Unknown Offense,-76.6211914895,39.2904172825
61,Unknown Offense,-76.5814357143,39.2957035015
62,Unknown Offense,-76.5757845784,39.2962499655
63,Unknown Offense,-76.5674362129,39.2943725241
64,4C-Agg. Asslt.- Oth.,-76.6783936047,39.3271038333
65,4C-Agg. Asslt.- Oth.,-76.6783936047,39.3271038333
66,Unknown Offense,-76.6467411024,39.2841566824
67,Unknown Offense,-76.6467411024,39.2841566824
68,Unknown Offense,-76.6467411024,39.2841566824
69,Unknown Offense,-76.5668164064,39.3681812931
70,Unknown Offense,-76.6043159952,39.3131511281
71,Unknown Offense,-76.5936453911,39.2890063189
72,Unknown Offense,-76.5956188789,39.2938549153
73,Unknown Offense,-76.6450385413,39.2832179326
74,3B-Robb Highway (Ua),-76.6464769041,39.3089408388
75,Unknown Offense,-76.6449755267,39.2821243412
76,6J-Larceny- Other,-76.6470938142,39.3120028661
77,Unknown Offense,-76.5833213429,39.3666028483
78,Unknown Offense,-76.5958694264,39.2941936608
79,Unknown Offense,-76.5958694264,39.2941936608
80,Unknown Offense,-76.5975308461,39.3095125465
81,Unknown Offense,-76.6406676364,39.2822738321
82,Unknown Offense,-76.6665663666,39.2615698565
83,4E-Common Assault,-76.5933880999,39.2250201669
84,5A-Burg. Res. (Force),-76.672614082,39.2672465889
85,Unknown Offense,-76.6367323965,39.2876381152
86,Unknown Offense,-76.5840728352,39.3040093394
87,Unknown Offense,-76.5840728352,39.3040093394
88,Unknown Offense,-76.6159836994,39.3009743435
89,Unknown Offense,-76.6159836994,39.3009743435
90,Unknown Offense,-76.6006129418,39.2358152548
91,Unknown Offense,-76.6241251923,39.2985949763
92,Unknown Offense,-76.6006129418,39.2358152548
93,Unknown Offense,-76.5670998239,39.3685456605
94,Unknown Offense,-76.6099801443,39.3609525567
95,Unknown Offense,-76.5450924517,39.3407820703
96,Unknown Offense,-76.6466144701,39.2819564035
97,4E-Common Assault,-76.5706278495,39.2973205256
98,Unknown Offense,-76.6689844842,39.3488096677
99,Unknown Offense,-76.5616001281,39.2916577915
100,Unknown Offense,-76.5948938624,39.2297888998
101,118-Burglary - Fourth Degree,-76.6034860596,39.2390894332
102,118-Burglary - Fourth Degree,-76.6034860596,39.2390894332
103,Unknown Offense,-76.6100972198,39.2913120768
104,Unknown Offense,-76.6110517836,39.3295277042
105,4B-Agg. Asslt.- Cut,-76.5713924428,39.2864252243
106,4D-Agg. Asslt.- Hand,-76.6901032482,39.3676928614
107,5A-Burg. Res. (Force),-76.6638288755,39.3013737335
108,Unknown Offense,-76.6642382471,39.3035865166
109,Unknown Offense,-76.5750793045,39.3256723249
110,4E-Common Assault,-76.5801764405,39.2945317461
111,6C-Larceny- Shoplifting,-76.655814669,39.2834251497
112,Unknown Offense,-76.5850389408,39.3046923802
113,75-Destruct. Of Property,-76.6503353865,39.3087339116
114,Unknown Offense,-76.6440930783,39.2738440494
115,Unknown Offense,-76.6440930783,39.2738440494
116,Unknown Offense,-76.609509804,39.3118787514
117,Unknown Offense,-76.609509804,39.3118787514
118,Unknown Offense,-76.5890965124,39.3263710724
119,4E-Common Assault,-76.6512870198,39.308762806
120,4E-Common Assault,-76.6512870198,39.308762806
121,Unknown Offense,-76.6451037992,39.2843298437
122,Unknown Offense,-76.6451037992,39.2843298437
123,Unknown Offense,-76.6698666074,39.3080817678
124,Unknown Offense,-76.5964253392,39.3095532024
125,Unknown Offense,-76.5927799645,39.3238904147
126,118-Burglary - Fourth Degree,-76.5900751336,39.3072262942
127,Unknown Offense,-76.6665663666,39.2615698565
128,Unknown Offense,-76.6665663666,39.2615698565
129,Unknown Offense,-76.6352298739,39.2857376356
130,Unknown Offense,-76.6352298739,39.2857376356
131,4E-Common Assault,-76.6006431384,39.3157724544
132,4E-Common Assault,-76.6006431384,39.3157724544
133,Unknown Offense,-76.6073221432,39.3014207507
134,4E-Common Assault,-76.5903235893,39.2901377639
135,2H-Indecent Exp.,-76.5761306881,39.2909019484
136,4E-Common Assault,-76.5805063638,39.2937414856
137,Unknown Offense,-76.5676589431,39.2937235072
138,Unknown Offense,-76.6313366074,39.3311832462
139,54-Armed Person,-76.6333063533,39.296838246
140,Unknown Offense,-76.6651068957,39.2972136107
141,Unknown Offense,-76.6043305528,39.3529995728
142,Unknown Offense,-76.5439718695,39.3435080606
143,4E-Common Assault,-76.6098726826,39.3566637535
144,Unknown Offense,-76.5637110124,39.3496996314
145,4E-Common Assault,-76.6092617184,39.3243850245
146,4E-Common Assault,-76.6092617184,39.3243850245
147,Unknown Offense,-76.6082779763,39.3243992634
148,4B-Agg. Asslt.- Cut,-76.6637110606,39.3387721683
149,4B-Agg. Asslt.- Cut,-76.6637110606,39.3387721683
