,name,type,zipCode,neighborhood,councilDistrict,policeDistrict,Location 1,Latitude,Longitude
0,SAVE-A-LOT,Limited Supermarket,21217,Bolton Hill,11,CENTRAL,"250 MCMECHEN st
Baltimore, MD
",39.30722559648518,-76.62796330536145
1,ALDI,Limited Supermarket,21215,Ashburton,6,NORTHWESTERN,"3601 COLD SPRING LN
Baltimore, MD
",39.33568375859966,-76.67619017583513
2,ALDI     (A.K.A. 3000 ATCO AVENUE),Limited Supermarket,21230,Morrell Park,10,SOUTHWESTERN,"3140 WASHINGTON BLVD
Baltimore, MD
",39.25874542656129,-76.66194635174196
3,SAVE A LOT OF FELLS  POINT,Limited Supermarket,21231,Fells Point,1,SOUTHEASTERN,"517 BROADWAY
Baltimore, MD
",39.28504422920889,-76.5932855461902
4,"SAFEWAY, INC.",Full Supermarket,21218,Charles Village,12,NORTHERN,"2401 CHARLES ST
Baltimore, MD
",39.31657272085545,-76.61688500224028
5,"SANTONI'S, INC.",Small Supermarket,21224,Baltimore Highlands,2,SOUTHEASTERN,"3800 LOMBARD ST
Baltimore, MD
",39.29151752951145,-76.56500186244517
6,SHOPPERS FOOD & PHARMACY # 7567,Full Supermarket,21224,Pulaski Industrial Area,2,SOUTHEASTERN,"6500 EASTERN AVE
Baltimore, MD
",39.28789498296817,-76.53697437216874
7,SAVE-ON-FOOD SUPERMARKET,Limited Supermarket,21225,Brooklyn,10,SOUTHERN,"413 PATAPSCO AVE
Baltimore, MD
",39.237053927198076,-76.60481953579216
8,GIANT FOOD STORE # 317,Full Supermarket,21229,Hunting Ridge,8,SOUTHWESTERN,"4624 EDMONDSON AVE
Baltimore, MD
",39.29339751368542,-76.69526158585268
9,"STOP, SHOP & SAVE",Limited Supermarket,21217,Bridgeview/Greenlawn,7,WESTERN,"1400 MONROE ST
Baltimore, MD
",39.30426948714819,-76.64788551360476
10,STOP-SHOP & SAVE,Limited Supermarket,21201,Upton,11,CENTRAL,"1101 PENNSYLVANIA AVE
Baltimore, MD
",39.29860430234777,-76.6285075040173
11,SAM'S CLUB # 4771,Limited Supermarket,21230,Port Covington,10,SOUTHERN,"2601 PORT COVINGTON dr
Baltimore, MD
",39.25974311285546,-76.60880561528609
12,STOP-SHOP & SAVE,Limited Supermarket,21202,Oliver,12,EASTERN,"1600 HARFORD AVE
Baltimore, MD
",39.30867165777187,-76.60050244822861
13,"ALDI,  INC.",Limited Supermarket,21224,Ellwood Park/Monument,1,SOUTHEASTERN,"3250 FAYETTE ST
Baltimore, MD
",39.294848585994544,-76.57133180361905
14,SAFEWAY   (STORE #1481),Full Supermarket,21224,Canton,1,SOUTHEASTERN,"2610 BOSTON ST
Baltimore, MD
",39.280235291626525,-76.57961515771257
15,GIANT FOOD STORE #124,Full Supermarket,21211,Hampden,14,NORTHERN,"711 40TH ST
Baltimore, MD
",39.33709287213941,-76.63067893598333
16,SUPERFRESH,Full Supermarket,21211,Hoes Heights,14,NORTHERN,"1020 41ST ST
Baltimore, MD
",39.33774789515036,-76.63565454312186
17,GIANT FOODS #303,Full Supermarket,21218,Better Waverly,14,NORTHERN,"601 33RD ST
Baltimore, MD
",39.32709270776337,-76.62664973219859
18,SAVE-A-LOT,Limited Supermarket,21213,Belair-Edison,13,NORTHEASTERN,"4001 ERDMAN AVE
Baltimore, MD
",39.31427431450908,-76.56824900228884
19,WHOLE FOODS MARKET,Full Supermarket,21209,Sabina-Mattfeldt,5,NORTHERN,"1330 SMITH AVE
Baltimore, MD
",39.36785794818684,-76.64914544130829
20,STOP SHOP SAVE FOOD MARKET,Limited Supermarket,21239,Glen Oaks,4,NORTHERN,"5600 THE
Baltimore, MD
",39.29058294954456,-76.60925984306652
21,MARS SUPER MARKETS INC.,Small Supermarket,21239,Loch Raven,4,NORTHEASTERN,"1700 NORTHERN PKWY
Baltimore, MD
",39.3665875316903,-76.58343806421448
22,"STOP, SHOP & SAVE",Limited Supermarket,21205,Gay Street,12,EASTERN,"929 CAROLINE ST
Baltimore, MD
",39.28089497672289,-76.59625062986186
23,BAINES STOP SHOP & SAVE #04,Limited Supermarket,21215,Central Park Heights,6,NORTHWESTERN,"2701 COLD SPRING LN
Baltimore, MD
",39.33947519602458,-76.6666783640145
24,"SAFEWAY STORES, INC. #1153",Full Supermarket,21223,Washington Village,9,SOUTHERN,"1205 PRATT ST
Baltimore, MD
",39.285605380984634,-76.63675488972558
25,GIANT FOOD STORE #145,Full Supermarket,21206,Frankford,2,NORTHEASTERN,"5150 SINCLAIR LN
Baltimore, MD
",39.32249071227761,-76.54541116769042
26,BI-RITE,Limited Supermarket,21206,Glenham-Belford,2,NORTHEASTERN,"5950 BELAIR RD
Baltimore, MD
",39.34692666553428,-76.5395680079564
27,EDDIE'S SUPERMARKET,Small Supermarket,21218,Charles Village,14,NORTHERN,"3117 ST PAUL ST
Baltimore, MD
",39.32604580607017,-76.61577728928967
28,SUPER FRESH FOOD MARKETS #813,Full Supermarket,21223,Millhill,9,SOUTHWESTERN,"2495 FREDERICK AVE
Baltimore, MD
",39.28347165939067,-76.65576493989926
29,FOOD KING SUPERMARKET,Small Supermarket,21227,Cherry Hill,10,SOUTHERN,"3400 ANNAPOLIS RD
Baltimore, MD
",39.248269729465505,-76.63998445052118
30,SAVE-A-LOT,Limited Supermarket,21230,Washington Village,11,SOUTHERN,"717 WASHINGTON BLVD
Baltimore, MD
",39.28323389662813,-76.62669006049708
31,FOOD KING SUPERMARKET,Small Supermarket,21215,Seton Business Park,5,NORTHWESTERN,"5700 WABASH AVE
Baltimore, MD
",39.3463706605786,-76.69777171868907
32,"STOP, SHOP & SAVE",Limited Supermarket,21215,Mondawmin,7,WESTERN,"2301 LIBERTY HEIGHTS AVE
Baltimore, MD
",39.318502924071765,-76.6534169062644
33,"STOP, SHOP & SAVE",Limited Supermarket,21216,Mount Holly,7,SOUTHWESTERN,"3427 CLIFTON AVE
Baltimore, MD
",39.310949744835966,-76.67441005867647
34,SAVE-A-LOT,Limited Supermarket,21215,Reisterstown Station,5,NORTHWESTERN,"6836 REISTERSTOWN RD
Baltimore, MD
",39.360033200672774,-76.70747821124962
35,SAVE-A-LOT,Limited Supermarket,21218,Charles North,12,NORTHERN,"2008 MARYLAND AVE
Baltimore, MD
",39.31232985703838,-76.61801426204778
36,"SAFEWAY, INC. # 1513",Full Supermarket,21214,Beverly Hills,3,NORTHEASTERN,"4401 HARFORD RD
Baltimore, MD
",39.33997986677849,-76.57234697183446
37,EDDIE'S SUPER MARKET,Small Supermarket,21210,Wyndhurst,6,NORTHERN,"5113 ROLAND AVE
Baltimore, MD
",39.355874132985946,-76.63455535484496
38,SAVE-A-LOT,Limited Supermarket,21218,Hillen,3,NORTHEASTERN,"1500 HAVENWOOD
Baltimore, MD
",39.34067801318088,-76.59132980222779
39,WHOLE FOODS MARKET,Full Supermarket,21202,Inner Harbor,1,SOUTHEASTERN,"1001 FLEET ST
Baltimore, MD
",39.28424351602655,-76.59970872907377
40,FOOD KING,Small Supermarket,21239,Loch Raven,4,NORTHEASTERN,"5830 HILLEN RD
Baltimore, MD
",39.35918805378674,-76.58180980747585
41,GIANT FOOD # 397,Full Supermarket,21215,Reisterstown Station,5,NORTHWESTERN,"6620 REISTERSTOWN RD
Baltimore, MD
",39.35748232944701,-76.70423843595427
42,HIGHLANDTOWN  GROCERY  &  DELI,Small Supermarket,21224,Baltimore Highlands,1,SOUTHEASTERN,"19 HIGHLAND AVE
Baltimore, MD
",39.29330310645429,-76.56942501245356
43,SHOPPERS,Full Supermarket,21230,Riverside,10,SOUTHERN,"900 Fort Ave
Baltimore, MD
",39.271406475329684,-76.60059102785283
