,name,zipCode,neighborhood,councilDistrict,policeDistrict,Location 1,Latitude,Longitude
0,American Dime Museum,21201,Charles North,12,CENTRAL,"1808 Maryland Ave
BALTIMORE, MD
",39.3100219,-76.6182089
1,American Indian Museum,21231,Washington Hill,1,SOUTHEASTERN,"118 Broadway
BALTIMORE, MD
",39.2928759,-76.5940633
2,American Visionary Art Museum,21230,Federal Hill,11,SOUTHERN,"800 Key Hwy
BALTIMORE, MD
",39.279813,-76.606835
3,B. Olive Cole Pharmacy Museum,21201,University Of Maryland,11,CENTRAL,"650 Lombard St
BALTIMORE, MD
",39.2879047,-76.6069774
4,Babe Ruth Birthplace and Museum,21230,Ridgely's Delight,11,SOUTHERN,"216 Emory St
BALTIMORE, MD
",39.2855824,-76.6248345
5,Baltimore American Indian Center,21231,Upper Fells Point,1,SOUTHEASTERN,"113 Broadway
BALTIMORE, MD
",39.2930946,-76.5937295
6,Baltimore City Fire Museum,21202,Oldtown,12,EASTERN,"414 Gay St
BALTIMORE, MD
",39.2945556,-76.6063423
7,Baltimore Civil War Museum,21202,Inner Harbor,1,SOUTHEASTERN,"601 President St
BALTIMORE, MD
",39.2839723,-76.602436
8,Baltimore Clayworks,21209,Mount Washington,5,NORTHERN,"5706 Smith Ave
BALTIMORE, MD
",39.367574,-76.653272
9,Baltimore Maritime Museum,21202,Inner Harbor,11,CENTRAL,"3 Pratt St
BALTIMORE, MD
",39.2864806,-76.6149231
10,Baltimore Museum of Art,21218,Johns Hopkins Homewood,14,NORTHERN,"10 Art Museum Dr
BALTIMORE, MD
",39.325755,-76.61944
11,Baltimore Museum of Industry,21230,Locust Point Industrial Area,10,SOUTHERN,"1415 Key Hwy
BALTIMORE, MD
",39.2739568,-76.6016324
12,Baltimore Public Works Museum,21202,Inner Harbor,1,SOUTHEASTERN,"751 Eastern Ave
BALTIMORE, MD
",39.284807,-76.603413
13,Baltimore Streetcar Museum,21217,Charles North,12,NORTHERN,"1905 Falls Road
BALTIMORE, MD
",39.3122852,-76.6213303
14,Baltimore's Black American Museum,21218,Coldstream Homestead Montebello,14,NORTHEASTERN,"1765 Carswell St
BALTIMORE, MD
",39.3205868,-76.5921978
15,Carroll Mansion,21201,Hollins Market,9,SOUTHERN,"800 Lombard St
BALTIMORE, MD
",39.2960305,-76.5467305
16,Contemporary Museum,21201,Mount Vernon,11,CENTRAL,"100 Centre St
BALTIMORE, MD
",39.296371,-76.6178585
17,Edgar Allen Poe House and Museum,21223,Poppleton,11,WESTERN,"203 Amity St
BALTIMORE, MD
",39.2914478,-76.6330673
18,Eubie Blake National Jazz Institute and Cultural Center,21201,Mount Vernon,11,CENTRAL,"847 Howard St
BALTIMORE, MD
",39.2996667,-76.6197476
19,Evergreen House,21210,Loyola/Notre Dame,4,NORTHERN,"4545 Charles St
BALTIMORE, MD
",39.3490218,-76.6208464
20,Fells Point Maritime Museum,21231,Fells Point,1,SOUTHEASTERN,"1724 Thames St
BALTIMORE, MD
",39.282333,-76.59168
22,H. L. Mencken House,21223,Union Square,9,SOUTHERN,"1524 Hollins St
BALTIMORE, MD
",39.2875817,-76.6418478
23,Homewood House Museum,21201,Downtown,11,CENTRAL,"3400 Charles St
BALTIMORE, MD
",39.3304957,-76.6200464
24,James E. Lewis Museum of Art,21210,Guilford,14,NORTHERN,"1700 Cold Spring Lane
BALTIMORE, MD
",39.345295,-76.6467008
25,Jewish Museum of Maryland,21202,Jonestown,12,SOUTHEASTERN,"15 Lloyd St
BALTIMORE, MD
",39.2904874,-76.6011987
26,Lacrosse Foundation Hall of Fame Museum,21218,Johns Hopkins Homewood,14,NORTHERN,"113 University Pkwy
BALTIMORE, MD
",39.3345666,-76.6218691
27,Lovely Lane Museum,21218,Charles Village,12,NORTHERN,"2200 St Paul St
BALTIMORE, MD
",39.3146011,-76.6156567
28,Maryland Historical Society,21201,Mount Vernon,11,CENTRAL,"201 Monument St
BALTIMORE, MD
",39.2976312,-76.612853
29,Maryland Ornithological Museum,21209,Coldspring,6,NORTHERN,"4915 Greenspring Ave
BALTIMORE, MD
",39.353009,-76.6544
30,Maryland Science Center,21230,Inner Harbor,11,CENTRAL,"601 Light St
BALTIMORE, MD
",39.2814837,-76.6119835
31,Mother Seton House,21201,Seton Hill,11,CENTRAL,"600 Paca St
BALTIMORE, MD
",39.2834882,-76.6243065
32,Mount Clare Museum House,21230,Carroll Park,9,SOUTHERN,"1500 Washington Blvd
BALTIMORE, MD
",39.2789522,-76.6429804
33,Mount Vernon Museum of Incandescent Lighting,21201,Mount Vernon,11,CENTRAL,"717 Washington Pl
BALTIMORE, MD
",39.298414,-76.615229
34,Museum of Baltimore Legal History,21202,Downtown,11,CENTRAL,"100 Calvert St
BALTIMORE, MD
",39.2348307,-76.6110316
35,National Aquarium in Baltimore,21202,Inner Harbor,11,CENTRAL,"501 Pratt St
BALTIMORE, MD
",39.2848248,-76.6071424
36,National Museum of Ceramic Art and Glass,21209,Cheswolde,5,NORTHWESTERN,"2406 Shelleydale Dr
BALTIMORE, MD
",39.370301,-76.679041
37,National Museum of Dentistry,21201,University Of Maryland,11,CENTRAL,"31 Greene St
BALTIMORE, MD
",39.2881381,-76.6236078
38,Peabody Galleria Piccola,21212,Bellona-Gittings,4,NORTHERN,"609 Charles St
BALTIMORE, MD
",39.2967396,-76.6154388
39,Peale Museum,21202,Downtown,11,CENTRAL,"225 Holliday St
BALTIMORE, MD
",39.291847,-76.610001
40,Port Discovery,21202,Downtown,11,CENTRAL,"35 Market Pl
BALTIMORE, MD
",39.2889344,-76.606288
41,Robert Long House,21231,Fells Point,1,SOUTHEASTERN,"812 Ann St
BALTIMORE, MD
",39.2822143,-76.5913509
42,Sheldon K. Knorr Gallery for Contemporary and Edible Art,21202,Downtown,11,CENTRAL,"17 Commerce St
BALTIMORE, MD
",39.2888877,-76.6099156
43,Shot Tower,21202,Jonestown,12,CENTRAL,"801 Fayette St
BALTIMORE, MD
",39.2907282,-76.6054722
