,ward,sect,block,lot,propertyAddress,lotSize,cityTax,stateTax,resCode,amountDue,asOfDate,Latitude,Longitude
163520,27,680,4983A,013 ,5606 ENDERLY ROAD                ,89X156-7         ,$13180.02,$656.66,PRINCIPAL RESIDENCE      ,,03/25/2015,39.36522620362746,-76.62109602735899
21530,11,10,0467 ,044 ,100 E PRESTON ST U# 56           ,814SQ FT         ,$449.60,$22.40,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.30459816417505,-76.61418216087725
6547,20,10,0119 ,046 ,1938 LAURETTA AVE                ,14X74-7          ,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,$406.47,03/25/2015,39.294467461405304,-76.64861163252004
194395,27,10,5898H,104 ,4002 EIERMAN AVE                 ,14X94-11         ,$2101.88,$104.72,NOT A PRINCIPAL RESIDENCE,$2465.14,03/25/2015,39.33033402000012,-76.56643312179034
117692,13,10,3594A,066 ,WS ELM AV 217-1 FT S OF          ,63X25            ,$451.85,$22.51,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.29058294954456,-76.60925984306652
116268,13,150,3574 ,022C,4407 FALLS BRIDGE DR U# A        ,555.0 SQ FT      ,$1573.60,$78.40,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.342074306884854,-76.64585983925934
84099,16,230,2352 ,071B,SS 15 FT ALLEY 1ST S OF RIGGS AV ,24X35            ,$17.98,$0.90,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.29058294954456,-76.60925984306652
6157,16,140,0113 ,051 ,1206 EDMONDSON AVE               ,15X70            ,,,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.29549778139858,-76.63786087238054
119022,12,20,3650C,030 ,2835 REMINGTON AVE               ,12-8X80          ,$2049.43,$102.11,PRINCIPAL RESIDENCE      ,,03/25/2015,39.32192012841227,-76.62191655440466
48134,8,110,1517 ,120 ,2032 ELLSWORTH ST                ,12X60            ,$217.31,$10.83,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.30612849283676,-76.58895214132747
136537,9,30,4094 ,034 ,1139 HOMESTEAD ST                ,24X95            ,$2274.98,$113.34,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.32462413529669,-76.6019710033583
233671,25,10,8145 ,014 ,626 QUEENSGATE ROAD              ,18X100           ,$3230.38,$160.94,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.27484242873618,-76.69816140032754
237825,28,40,8424B,009 ,NWS N FOREST PARK AV             ,40-2X145         ,$240.54,$11.98,PRINCIPAL RESIDENCE      ,,03/25/2015,,
211693,26,70,6462 ,020 ,913 S HIGHLAND AVE               ,13X69            ,$3967.72,$197.68,PRINCIPAL RESIDENCE      ,,03/25/2015,39.28189266211774,-76.56869539697419
165931,27,640,5089 ,035 ,REAR WS PINEHURST RD             ,16-5X50-9        ,,,NOT A PRINCIPAL RESIDENCE,,03/25/2015,,
184279,27,40,5542 ,015 ,3009 HARVIEW AVE                 ,50X117           ,$2717.83,$135.41,PRINCIPAL RESIDENCE      ,,03/25/2015,39.36858406800144,-76.54585003145297
233051,25,10,8139F,022R,5205 WYNDHOLME CIR U# 404        ,1330 S.F.        ,$3587.81,$178.75,PRINCIPAL RESIDENCE      ,,03/25/2015,39.27900591119493,-76.70317085525
154100,27,190,4593 ,037 ,5020 PEMBRIDGE AVE               ,16X85            ,$1578.10,$78.62,PRINCIPAL RESIDENCE      ,,03/25/2015,39.349931079256976,-76.66986606226817
94550,15,200,2728 ,013 ,3511 BERWYN AVE                  ,60X140           ,,,PRINCIPAL RESIDENCE      ,,03/25/2015,39.32893189868929,-76.68372526520801
185438,27,40,5570D,013 ,6825 FAIRDEL AVE                 ,37-6X138-1       ,,,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.36021404983961,-76.53770763260036
7886,18,30,0154 ,001 ,329 N CAREY ST                   ,20-9X100         ,,,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.29310263677837,-76.63833523957885
198217,26,220,6019P,040 ,5521 RITTER AVE                  ,100X215          ,$388.90,$19.38,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.33803927549326,-76.5304185419813
82718,15,70,2306A,044 ,2414 PRESBURY ST                 ,15X96            ,$472.08,$23.52,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.30757839962456,-76.65665139264684
141966,26,360,4179D,081 ,3414 JUNEWAY                     ,20X128           ,$2023.20,$100.80,PRINCIPAL RESIDENCE      ,,03/25/2015,39.318007475865386,-76.56899377044533
39491,8,90,1164A,097 ,1600 - 1602 HAKESLEY PL          ,0.079 ACRES      ,$472.08,$23.52,NOT A PRINCIPAL RESIDENCE,,03/25/2015,52.713297215000466,5.273687639000457
105450,13,50,3230 ,011 ,2821 PARKWOOD AVE                ,14-9X82-10       ,$1276.12,$63.58,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.31531395867336,-76.64614072990997
70760,24,10,1915 ,112 ,427 GRINDALL ST U# 2             ,2190 SQ FT       ,$7868.00,$392.00,PRINCIPAL RESIDENCE      ,,03/25/2015,39.2779596147455,-76.6084225985233
201661,26,290,6115 ,016 ,3631 KENYON AVE                  ,14X125           ,$1789.41,$89.15,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.319049451072374,-76.56261254633114
150060,27,230,4429 ,019 ,3604 W ROGERS AVE                ,70X175           ,$481.07,$23.97,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.351516464414374,-76.68376358621975
64464,3,60,1799A,127A,675 PRESIDENT ST U# P553         ,148 SQ FT        ,$179.84,$8.96,PRINCIPAL RESIDENCE      ,$97.52,03/25/2015,39.28334493771979,-76.60140238720959
15643,21,20,0284 ,041 ,210 ROUNDHOUSE CT                ,17-10X58         ,$4487.01,$223.55,PRINCIPAL RESIDENCE      ,,03/25/2015,39.285407870977565,-76.6297418576998
116016,13,20,3565 ,003 ,3815 FALLS ROAD                  ,15-2X126-1       ,$2226.26,$110.92,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.334330589186436,-76.63592727422355
13532,18,90,0254 ,028 ,869 W LOMBARD ST                 ,17X75            ,$3783.38,$188.50,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.286903233998146,-76.63040970054647
152207,27,190,4529 ,028 ,3324 INGLESIDE AVE               ,37-6X117         ,$674.40,$33.60,PRINCIPAL RESIDENCE      ,,03/25/2015,39.352715668993994,-76.67987394192807
37056,12,100,1111 ,102 ,431 E LANVALE ST                 ,14X65            ,$1057.30,$52.68,PRINCIPAL RESIDENCE      ,,03/25/2015,39.308963038114825,-76.60977999025357
39756,10,30,1169 ,081 ,1103 PROCTOR ST                  ,11X40-6          ,,,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.30311096070335,-76.60715640344443
109569,15,340,3350J,071 ,2538 LOYOLA NORTHWAY             ,16X130-1         ,$472.08,$23.52,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.339566106691564,-76.66139272909038
106883,15,170,3270 ,011 ,2220 N MONROE ST                 ,20-1X99-6        ,$67.44,$3.36,NOT A PRINCIPAL RESIDENCE,$90.09,03/25/2015,39.31370087889354,-76.64845428713483
11968,19,70,0227 ,035 ,1822 W LOMBARD ST                ,14X84            ,$809.28,$40.32,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.28621790833091,-76.64615238512368
223958,25,40,7489 ,005 ,2508 BANGER ST                   ,75X150           ,$2751.55,$137.09,PRINCIPAL RESIDENCE      ,,03/25/2015,39.25802533400304,-76.6459518318108
222519,25,50,7446 ,021 ,2341 ANNAPOLIS ROAD              ,20X87            ,$202.32,$10.08,NOT A PRINCIPAL RESIDENCE,$248.31,03/25/2015,39.262144084183205,-76.6344831950426
