n,name,zipCode,neighborhood,councilDistrict,policeDistrict,Location 1,Latitude,Longitude
0,410,21206,Frankford,2,NORTHEASTERN,"4509 BELAIR ROAD",39.33062656586441,-76.56218363446635
1,1919,21231,Fells Point,1,SOUTHEASTERN,"1919 FLEET ST",39.284693407275995,-76.58940902480583
2,SAUTE,21224,Canton,1,SOUTHEASTERN,"2844 HUDSON ST",39.28223765554446,-76.57568152578096
3,#1 CHINESE KITCHEN,21211,Hampden,14,NORTHERN,"3998 ROLAND AVE",39.337080051404314,-76.6330764116463
4,#1 chinese restaurant,21223,Millhill,9,SOUTHWESTERN,"2481 frederick ave",39.283570082094684,-76.65558969890469
5,19TH HOLE,21218,Clifton Park,14,NORTHEASTERN,"2722 HARFORD RD",39.320721973341506,-76.59120159577623
6,3 KINGS,21205,McElderry Park,13,SOUTHEASTERN,"2510 MCELDERRY ST",39.297798518787715,-76.58141122434773
7,"3 MILES HOUSE, INC.",21211,Remington,7,NORTHERN,"2701 MILES AVE",39.31957043912553,-76.62268579761064
8,3 W'S TAVERN,21205,McElderry Park,13,SOUTHEASTERN,"2518 MONUMENT ST",39.298908094234264,-76.58167230113497
9,300 SOUTH ANN STREET,21231,Upper Fells Point,1,SOUTHEASTERN,"300 ANN ST",39.28758855966538,-76.59156640306622
10,438 CLUB,21226,Curtis Bay,10,SOUTHERN,"1600 HAZEL ST",39.22607822143385,-76.58840201524004
11,5-MILE HOUSE,21215,Woodmere,5,NORTHWESTERN,"5302 REISTERSTOWN RD",39.34518624624934,-76.68675794911928
12,"743 S. MONTFORD,INC.",21224,Canton,1,SOUTHEASTERN,"743 MONTFORD ST",39.283090816289246,-76.58265483475202
13,A & W RESTAURANT,21224,Pulaski Industrial Area,1,SOUTHEASTERN,"5625 O DONNELL ST",39.28125279088471,-76.54746893973896
14,A TASTE OF CHINA,21202,Downtown,11,CENTRAL,"219 BALTIMORE ST",39.28937659625399,-76.6184064429022
15,ABACROMBIE FINE FOODS,21201,Mid-Town Belvedere,11,CENTRAL,"58 BIDDLE STREET",39.30338835389051,-76.61821136466193
16,ABC SUSHI,21205,Middle East,13,EASTERN,"2003 MONUMENT ST",39.29853279635256,-76.58934958321589
17,ACROPOLIS RESTAURANT,21224,Greektown,2,SOUTHEASTERN,"4718 EASTERN AVE",39.28709787606721,-76.55599239033575
18,ADMIRAL FELL INN,21231,Fells Point,1,SOUTHEASTERN,"818 BROADWAY",39.300078275892815,-76.59451633496008
19,AG & HARP'S,21230,Morrell Park,10,SOUTHWESTERN,"2522 WASHINGTON BLVD",39.26632915306902,-76.65290871016805
20,"AIRPORT BAR & GRILL, INC.",21222,Saint Helena,1,SOUTHEASTERN,"6500 RIVERVIEW AVE",39.257468016936514,-76.5314045721625
21,AKBAR RESTAURANT,21201,Mount Vernon,11,CENTRAL,"823 CHARLES ST",39.299333508635584,-76.61572530937474
22,"AKDEY SUBWAY, INC.",21223,Millhill,9,SOUTHWESTERN,"2407 FREDERICK AVE",39.28410601058499,-76.65468972664877
23,ALDO'S   RESTAURANT,21202,Little Italy,1,SOUTHEASTERN,"306 HIGH ST",39.286053569817454,-76.60170759642762
24,ALE MARY'S,21231,Fells Point,1,SOUTHEASTERN,"1939 FLEET ST",39.28471322113933,-76.5888600651391
25,ALEXANDER'S TAVERN,21231,Fells Point,1,SOUTHEASTERN,"710 BROADWAY",39.283168906221135,-76.59351631852246
26,ALFEO'S,21215,Mondawmin,7,WESTERN,"2401 LIBERTY HEIGHTS AVE",39.31907392702118,-76.65523878164367
27,AL-HO CLUB,21223,Booth-Boyd,9,SOUTHWESTERN,"2105 FREDERICK AVE",39.28561416826034,-76.65031096178063
