,Longitude,Latitude
0,-76.6331659571,39.2973522251
1,-76.6842412792,39.3339792358
2,-76.6341827118,39.3045601683
3,-76.6465289111,39.299130126
4,-76.6685164698,39.309302887
5,-76.6398191423,39.2984551548
6,-76.5825617865,39.3100699049
7,-76.6625141401,39.3087295821
8,-76.6017185907,39.3466721645
9,-76.5756192465,39.3163055417
10,-76.6032151197,39.3433388308
11,-76.6486941154,39.2910266425
12,-76.6040342776,39.3132842811
13,-76.5646332274,39.2897383569
14,-76.6431361422,39.2970575748
15,-76.682788333,39.2934835564
16,-76.6459416719,39.2921950328
17,-76.6758146966,39.2835400116
18,-76.6411946979,39.3066385152
19,-76.64278555,39.3009091809
20,-76.6492553745,39.2943752694
21,-76.6721859967,39.3402969351
22,-76.6328974298,39.3051909517
23,-76.6532370669,39.2894557076
24,-76.672550318,39.3435943878
25,-76.6358644717,39.3048327011
26,-76.6495963638,39.3091898689
27,-76.6850387321,39.281923857
28,-76.5711786282,39.3557887026
29,-76.6463079375,39.2927563139
30,-76.6634347205,39.3040548761
31,-76.6431611065,39.3069323403
32,-76.6318919446,39.2959028551
33,-76.6722655299,39.3442475643
34,-76.6321855828,39.3129028463
35,-76.684875804,39.3546366193
36,-76.5889774687,39.3229086572
37,-76.6299896722,39.3017915118
38,-76.5850437034,39.3014691667
39,-76.6776021666,39.3486833073
40,-76.6782328256,39.3448139137
41,-76.5872059688,39.2273624368
42,-76.6451783275,39.2841135448
43,-76.6501224611,39.2979780309
44,-76.6415989866,39.283901708
45,-76.677059974,39.3455661182
46,-76.6578206998,39.2792675961
47,-76.6068718875,39.3122873415
48,-76.6069537122,39.313812872
49,-76.6297754837,39.3038009677
50,-76.6569290429,39.2869144247
51,-76.6371055436,39.2904849153
52,-76.5860278827,39.3039565304
53,-76.5938826211,39.3148834694
54,-76.6433994163,39.2599626251
55,-76.5788491097,39.3157077201
56,-76.5898750596,39.2292748566
57,-76.5845780392,39.3084361264
58,-76.5960316235,39.3192424558
59,-76.5784169243,39.3006986357
60,-76.6504859425,39.2895422712
61,-76.6417628138,39.2904306195
62,-76.6379801647,39.2911885979
63,-76.6857886691,39.3335070193
64,-76.5877052411,39.3126794757
65,-76.5927818368,39.3325589517
66,-76.6373396294,39.2945244742
67,-76.6537422906,39.294292491
68,-76.6507516704,39.2956242268
69,-76.6703221861,39.349629957
70,-76.5980268587,39.3158471403
71,-76.642132563,39.3132776831
72,-76.6480418974,39.2967586731
73,-76.5888492898,39.2968547174
74,-76.639356141,39.3003566268
75,-76.5902975201,39.3061076722
76,-76.5773349465,39.2960024828
77,-76.6036909359,39.3079592849
78,-76.570886777,39.2973271308
79,-76.6309390637,39.3014641426
80,-76.6330760379,39.2649915809
81,-76.5950218485,39.3221050012
82,-76.5902919503,39.3060412238
83,-76.6330540793,39.2990594904
84,-76.6806578237,39.3349632271
85,-76.6378680219,39.3098062229
86,-76.5801836747,39.3071682328
87,-76.5905307664,39.3099908732
88,-76.6360982856,39.2809387682
89,-76.5506414244,39.3366209247
90,-76.6340433013,39.287559852
91,-76.6582580685,39.2884577875
92,-76.6029006429,39.3070665008
93,-76.6759765197,39.340590397
94,-76.6479233314,39.3102960176
95,-76.6718808746,39.3412495375
96,-76.5597772469,39.3492248085
97,-76.6525509753,39.3111173831
98,-76.5922083363,39.3273122239
99,-76.6362700265,39.2895706136
100,-76.6407869589,39.300262986
101,-76.5974272069,39.3103617727
102,-76.6054769131,39.3121611349
103,-76.6617438528,39.3066413504
104,-76.6628495975,39.2953383834
105,-76.6337152979,39.263985858
106,-76.6005279231,39.3108500752
107,-76.6367220076,39.2612386274
108,-76.674628057,39.3453713858
109,-76.6555340279,39.2938735446
110,-76.5837051034,39.3139127983
111,-76.6326127774,39.2985251596
112,-76.5839978244,39.3115609138
